gene	chr	pos
TENM4	11	78828589
TENM4	11	79035621
VSTM5	11	93554179
GPR83	11	94113711
KDM4D	11	94732156
ENDOD1	11	94823372
CEP57	11	95546641
CNTN5	11	99015236
CNTN5	11	99236136
CNTN5	11	99306275
KIAA1377	11	101870096
SLN	11	107581828
RDX	11	110070232
ARHGAP20	11	110450653
BTG4	11	111338389
HSPB2	11	111783041
IL18	11	112033631
NCAM1	11	113034762
NCAM1	11	113059643
NCAM1	11	113064578
TRIM29	11	119982113
POU2F3	11	120173073
ARHGEF12	11	120319880
ARHGEF12	11	120352066
GRIK4	11	120430029
GRIK4	11	120686132
SLC37A2	11	124950548
PKNOX2	11	125158445
ST3GAL4	11	126268676
KCNJ5	11	128789815
TP53AIP1	11	128808133
B3GAT1	11	134267242
B3GAT1	11	134273365
ERC1	12	1129719
TEAD4	12	3107784
TEAD4	12	3124775
TSPAN9	12	3188683
TSPAN9	12	3201939
TSPAN9	12	3214412
TSPAN9	12	3276924
EFCAB4B	12	3823591
VWF	12	6232987
CHD4	12	6707086
ZNF384	12	6793743
GPR162	12	6932194
ATN1	12	7050593
CLSTN3	12	7311134
NANOG	12	7947324
SLC2A14	12	7970496
DUSP16	12	12684663
GRIN2B	12	14074671
EPS8	12	15908365
AEBP2	12	19574173
SLCO1A2	12	21514100
SOX5	12	23686121
ITPR2	12	26493235
FAR2	12	29359735
CNTN1	12	41197694
CNTN1	12	41214604
PRICKLE1	12	42904852
PUS7L	12	44152066
PCED1B	12	47614540
PCED1B	12	47623292
PCED1B	12	47626530
LALBA	12	48961578
ADCY6	12	49171263
MCRS1	12	49952459
LIMA1	12	50645788
FAM186A	12	50790087
ACVR1B	12	52380768
KRT86	12	52660501
KRT71	12	52940267
KRT72	12	52981612
KRT78	12	53232257
NPFF	12	53901045
TESPA1	12	55347268
NEUROD4	12	55417950
ITGA7	12	56088388
IKZF4	12	56428700
ANKRD52	12	56631870
BAZ2A	12	56995476
LRP1	12	57571232
GLI1	12	57864250
ARHGAP9	12	57868242
ARHGAP9	12	57881963
OS9	12	58087874
RP11-362K2.2	12	58955948
RP11-362K2.2	12	58956795
RP11-362K2.2	12	58988486
RP11-362K2.2	12	59139351
FAM19A2	12	62545884
TBC1D30	12	65226073
WIF1	12	65514921
GRIP1	12	66773106
RAP1B	12	69036008
CAPS2	12	75770455
MGAT4C	12	86580583
MGAT4C	12	86850029
MGAT4C	12	87012210
MGAT4C	12	87077646
TMTC3	12	88536563
ANO4	12	101133750
TCP11L2	12	106697046
RP11-144F15.1	12	107048146
SELPLG	12	109017804
ACACB	12	109556274
UBE3B	12	109954680
TMEM116	12	112448194
RPH3A	12	113231826
RPH3A	12	113253311
OAS3	12	113385840
DTX1	12	113531899
HRK	12	117313901
NOS1	12	117665399
SRRM4	12	119600700
PXN	12	120648614
CAMKK2	12	121701696
CAMKK2	12	121727424
PITPNM2	12	123481301
PITPNM2	12	123530799
SBNO1	12	123773911
NCOR2	12	125008999
NCOR2	12	125015914
TMEM132B	12	125900204
RIMBP2	12	131189451
EP400	12	132528730
ZNF10	12	133715080
SPATA13	13	24638274
SPATA13	13	24724072
SPATA13	13	24757528
SPATA13	13	24788819
SPATA13	13	24877167
WASF3	13	27141569
WASF3	13	27154818
SLC7A1	13	30112641
DCLK1	13	36703948
SERTM1	13	37253407
TRPC4	13	38237824
ENOX1	13	44034025
LCP1	13	46768496
CAB39L	13	50000685
SERPINE3	13	51914201
ATP7B	13	52509815
KLF12	13	74645521
SCEL	13	78112307
RNF219	13	79190309
IPO5	13	98660331
FARP1	13	98842938
COL4A2	13	111130369
ING1	13	111366565
RP11-65D24.2	13	112277160
MCF2L	13	113555270
ADPRHL1	13	114076408
TEP1	14	20881398
PNP	14	20945051
AJUBA	14	23450504
ZFHX2	14	24007842
DHRS4L2	14	24439516
STXBP6	14	25493410
SLC25A21	14	37148974
FOXA1	14	38065480
LRFN5	14	42086392
LRFN5	14	42106182
LRFN5	14	42181608
LRFN5	14	42191950
FAM179B	14	45431568
L2HGDH	14	50732187
SAV1	14	51111475
FBXO34	14	55783621
C14orf105	14	57936508
KCNH5	14	63554373
SYNE2	14	64352439
SPTB	14	65234551
TMEM229B	14	67950732
ZFYVE26	14	68271995
KIAA0247	14	70124729
SRSF5	14	70215443
SLC8A3	14	70638761
COX16	14	70792191
PCNX	14	71576522
SIPA1L1	14	72036197
RGS6	14	72404415
HEATR4	14	73989171
ESRRB	14	76874677
ESRRB	14	76885413
TMEM63C	14	77662954
TMEM63C	14	77664251
TMEM63C	14	77680197
ADCK1	14	78276510
ADCK1	14	78325481
NRXN3	14	78928095
NRXN3	14	79104417
CEP128	14	81399501
FOXN3	14	89886811
FOXN3	14	89926893
FOXN3	14	89981354
FBLN5	14	92357676
RIN3	14	93118855
LGMN	14	93201973
UNC79	14	93799629
UNC79	14	93823094
FAM181A	14	94389082
PPP4R4	14	94640759
SERPINA6	14	94784138
C14orf132	14	96515384
BDKRB2	14	96682100
ATG2B	14	96756818
BAG5	14	104028971
C14orf180	14	105055726
CEP170B	14	105334624
CDCA4	14	105480608
BRF1	14	105778934
TEX22	14	105879892
GOLGA8S	15	23599992
NDN	15	23931948
SNRPN	15	25223103
HERC2	15	28377269
GOLGA8F	15	28623907
GOLGA8G	15	28778020
GOLGA8M	15	28957470
APBA2	15	29295067
FAN1	15	31233925
KLF13	15	31664935
KLF13	15	31667979
GOLGA8K	15	32695396
AVEN	15	34291679
KATNBL1	15	34456149
GOLGA8A	15	34702139
GOLGA8A	15	34848361
GOLGA8A	15	34876424
PAK6	15	40549944
PLA2G4E	15	42275675
VPS39	15	42452942
ZNF106	15	42779310
STARD9	15	42984880
TTBK2	15	43038175
TTBK2	15	43174903
TGM7	15	43569107
CASC4	15	44630463
SEMA6D	15	47591998
SEMA6D	15	47619340
SEMA6D	15	47663991
SEMA6D	15	47675313
SEMA6D	15	47917662
CEP152	15	49052432
CEP152	15	49102605
GABPB1	15	50602904
DMXL2	15	51749581
RAB27A	15	55561834
CGNL1	15	57715888
GCOM1	15	57899165
TLN2	15	62889551
TLN2	15	62917885
HERC1	15	64100609
DAPK2	15	64199754
IGDCC3	15	65620258
SMAD3	15	67457304
NPTN	15	73926332
C15orf59	15	74043973
CCDC33	15	74622604
SCAMP5	15	75288797
C15orf39	15	75500446
MAN2C1	15	75648779
CSPG4	15	75975383
PEAK1	15	77425841
PEAK1	15	77541304
PEAK1	15	77591016
PEAK1	15	77659020
LINGO1	15	77906971
LINGO1	15	77928668
LINGO1	15	77949551
ADAMTS7	15	79069129
MORF4L1	15	79120749
ANKRD34C	15	79587352
ZFAND6	15	80360127
KIAA1199	15	81077722
KIAA1199	15	81107504
FSD2	15	83469943
ADAMTSL3	15	84708241
NTRK3	15	88680747
DET1	15	89082289
ISG20	15	89182197
KIF7	15	90185502
ZNF710	15	90549627
ZNF710	15	90578728
ZNF710	15	90598318
GDPGP1	15	90784290
CRTC3	15	91181994
UNC45A	15	91475417
SV2B	15	91704227
SV2B	15	91843850
RGMA	15	93588738
MCTP2	15	94832520
MEF2A	15	100027015
MEF2A	15	100137650
CERS3	15	101059259
LINS	15	101125468
ITFG3	16	287395
ARHGDIG	16	332120
CAPN15	16	586368
HAGHL	16	779732
IFT140	16	1660228
TSC2	16	2131612
DNASE1L2	16	2288611
ABCA3	16	2347445
CCDC64B	16	3077989
CREBBP	16	3807270
ADCY9	16	4014976
HMOX2	16	4533907
ABAT	16	8775621
CARHSP1	16	8954119
CARHSP1	16	8956116
CARHSP1	16	8961570
EMP2	16	10668226
RMI2	16	11402738
CTD-3088G3.8	16	11585467
LITAF	16	11660185
LITAF	16	11680625
ITPRIPL2	16	19128274
ACSM1	16	20648139
ERI2	16	20864250
SCNN1G	16	23196744
ZKSCAN2	16	25247741
KIF22	16	29814805
SEZ6L2	16	29899135
TMEM219	16	29952893
SETD1A	16	30976044
STX1B	16	31008835
KAT8	16	31129002
ITGAD	16	31435838
SHCBP1	16	46615928
ZNF423	16	49862142
ZNF423	16	49882787
SALL1	16	51173556
CHD9	16	53112569
MT2A	16	56642609
CPNE2	16	57129117
CCL17	16	57444809
C16orf80	16	58148804
CDH11	16	64984827
CDH11	16	65134729
LRRC29	16	67256901
SLC9A5	16	67282917
PLEKHG4	16	67314035
ACD	16	67694711
TSNAXIP1	16	67861228
PRMT7	16	68379592
SMPD3	16	68423285
CYB5B	16	69496453
DDX19B	16	70363734
DDX19A	16	70400527
ST3GAL2	16	70452337
ST3GAL2	16	70455691
IL34	16	70615372
IL34	16	70659493
ZFHX3	16	73025329
ZFHX3	16	73082544
SDR42E1	16	82038228
ATP2C2	16	84482219
ZDHHC7	16	85028224
C16orf74	16	85782099
C16orf74	16	85783146
IRF8	16	85955077
CA5A	16	87970057
BANP	16	88008042
ZNF469	16	88496687
PIEZO1	16	88800892
CDT1	16	88871254
ANKRD11	16	89461849
RPH3AL	17	182794
YWHAE	17	1248449
PAFAH1B1	17	2509779
RAP1GAP2	17	2690230
TRPV3	17	3458230
TRPV1	17	3496772
CYB5D2	17	4057963
SPNS3	17	4391296
MYBBP1A	17	4451352
MYBBP1A	17	4457535
KIF1C	17	4930479
USP6	17	5030881
SLC16A11	17	6946960
TNFSF12-TNFSF13	17	7463455
DNAH2	17	7620883
KDM6B	17	7748708
GUCY2D	17	7918801
PFAS	17	8167581
PIK3R5	17	8818906
GLP2R	17	9793611
GLP2R	17	9795122
GAS7	17	9819031
PIRT	17	10728279
ZSWIM7	17	15890659
NCOR1	17	16110537
RAI1	17	17613956
RAI1	17	17649341
MYO15A	17	18062940
LLGL1	17	18148007
LGALS9C	17	18389404
SLC47A1	17	19470501
ALDH3A1	17	19651432
SPECC1	17	19998876
LGALS9B	17	20361541
LGALS9	17	25967754
SLC13A2	17	26821045
SLC13A2	17	26824188
TRAF4	17	27076014
ANKRD13B	17	27935101
SLC6A4	17	28545856
RAB11FIP4	17	29864683
LRRC37B	17	30346001
SPACA3	17	31302974
RFFL	17	33371216
SLFN11	17	33691734
SLFN12	17	33757708
MYO19	17	34888369
LHX1	17	35299592
DUSP14	17	35860437
TBC1D3	17	36349845
MED1	17	37564166
RAB5C	17	40283867
RAB5C	17	40304023
RAB5C	17	40304374
STAT3	17	40530554
AOC2	17	40997852
AOC2	17	41002270
AOC3	17	41008463
GJC1	17	42892039
EFTUD2	17	42961031
HEXIM2	17	43238875
CRHR1	17	43848767
MAPT	17	44020574
MRPL10	17	45904556
ABI3	17	47300216
ITGA3	17	48145528
SAMD14	17	48207160
PPP1R9B	17	48227089
MBTD1	17	49321743
TMEM100	17	53800866
AKAP1	17	55165622
MSI2	17	55758265
CUEDC1	17	55939964
LPO	17	56314141
MTMR4	17	56568419
YPEL2	17	57422639
YPEL2	17	57425093
TBX2	17	59482025
MARCH10	17	60814532
SMARCD2	17	61909483
SMARCD2	17	61909672
ABCA8	17	66873793
SLC39A11	17	70732776
CDC42EP4	17	71284305
GPR142	17	72363600
RAB37	17	72667424
RAB37	17	72741218
OTOP2	17	72920868
SLC16A5	17	73084322
LLGL2	17	73525400
RECQL5	17	73631706
UNC13D	17	73840760
AANAT	17	74462320
TNRC6C	17	76040734
TMC6	17	76109062
C1QTNF1-AS1	17	77022001
RBFOX3	17	77131832
RBFOX3	17	77171264
RBFOX3	17	77225273
RBFOX3	17	77346824
RBFOX3	17	77536603
SLC26A11	17	78196618
RP11-1055B8.7	17	79410364
C17orf70	17	79515026
LRRC45	17	79988585
CCDC57	17	80166529
CSNK1D	17	80213446
SECTM1	17	80288128
TEX19	17	80319572
TBCD	17	80793012
C18orf56	18	657460
ENOSF1	18	691268
MYL12B	18	3266658
ZBTB14	18	5290905
EPB41L3	18	5519629
L3MBTL4	18	6346821
L3MBTL4	18	6371220
ANKRD62	18	12094157
SPIRE1	18	12658097
LDLRAD4	18	13241976
LDLRAD4	18	13260876
LDLRAD4	18	13272395
LDLRAD4	18	13292904
LDLRAD4	18	13368413
LDLRAD4	18	13647434
GREB1L	18	18872051
GREB1L	18	18922144
CCDC178	18	30996120
SLC14A2	18	43023368
SLC14A2	18	43105371
SLC14A2	18	43108365
SLC14A2	18	43199987
LOXHD1	18	44104893
KATNAL2	18	44543541
KATNAL2	18	44549468
KATNAL2	18	44555383
KATNAL2	18	44560229
ZBTB7C	18	45567143
ZBTB7C	18	45757999
ZBTB7C	18	45895126
ZBTB7C	18	45901596
ZBTB7C	18	45932040
ZBTB7C	18	45932085
ZBTB7C	18	45932130
ZBTB7C	18	45932175
ZBTB7C	18	45932220
CTIF	18	46106006
CTIF	18	46137610
DYM	18	46975027
LIPG	18	47088055
MAPK4	18	48104264
SMAD4	18	48535906
MEX3C	18	48703576
ST8SIA3	18	55024483
ATP8B1	18	55405579
ATP8B1	18	55434433
CDH20	18	59110725
RNF152	18	59522766
SERPINB5	18	61171022
SERPINB12	18	61231330
CCDC102B	18	66498022
MADCAM1	19	489453
MISP	19	758415
GRIN3B	19	1005198
C19orf26	19	1231206
APC2	19	1465392
KLF16	19	1863248
MOB3A	19	2079542
MOB3A	19	2088138
PLEKHJ1	19	2236538
GNG7	19	2544339
GNG7	19	2569762
GNG7	19	2653691
NCLN	19	3186028
FZR1	19	3532489
FZR1	19	3537150
HMG20B	19	3573199
GIPC3	19	3586625
MATK	19	3791220
ZBTB7A	19	4064358
CATSPERD	19	5778489
RFX2	19	6057614
RFX2	19	6100803
SLC25A23	19	6442163
EMR1	19	6924760
PEX11G	19	7555782
EVI5L	19	7903688
LRRC8E	19	7960143
TGFBR3L	19	7981823
KANK3	19	8398037
KANK3	19	8407000
ZNF562	19	9772366
ZNF562	19	9772433
S1PR2	19	10335204
S1PR2	19	10340608
LDLR	19	11210970
LDLR	19	11216212
DOCK6	19	11311146
RAB3D	19	11449620
ELAVL3	19	11565419
ZSWIM4	19	13942008
CC2D1A	19	14023122
RFX1	19	14107371
DDX39A	19	14524607
GIPC1	19	14605973
EMR3	19	14741019
EMR2	19	14854596
CYP4F22	19	15622165
EPS15L1	19	16513218
NWD1	19	16905258
F2RL3	19	17002937
PLVAP	19	17471354
UNC13A	19	17713223
UNC13A	19	17716352
CCDC124	19	18053667
KIAA1683	19	18375681
ISYNA1	19	18547010
CRTC1	19	18891259
SLC25A42	19	19221550
SUGP1	19	19416812
MAU2	19	19454704
GATAD2A	19	19574398
CILP2	19	19654854
ZNF43	19	22028835
ZNF492	19	22835670
RPSAP58	19	23971180
RPSAP58	19	24007904
ZNF536	19	30899281
KIAA0355	19	34759516
GPI	19	34890150
WTIP	19	34971925
GRAMD1A	19	35510363
FFAR3	19	35850269
FFAR3	19	35850927
GPR42	19	35862738
GPR42	19	35863396
RBM42	19	36120055
SYNE4	19	36494405
ZNF566	19	36973979
ZNF790	19	37323189
ZNF383	19	37720416
ZNF793	19	38008043
ZNF607	19	38188067
SIPA1L3	19	38399563
SIPA1L3	19	38521572
SIPA1L3	19	38543632
SIPA1L3	19	38564725
SIPA1L3	19	38569324
SIPA1L3	19	38572829
YIF1B	19	38806370
RYR1	19	39014583
CAPN12	19	39239713
SAMD4B	19	39843849
DLL3	19	39998152
LGALS16	19	40151116
FBL	19	40328387
C19orf47	19	40847765
NUMBL	19	41188665
BCAM	19	45322016
PPP1R37	19	45645402
NKPD1	19	45656204
ERCC1	19	45960440
AC074212.3	19	46266656
SIX5	19	46272408
PNMAL2	19	46998645
FKRP	19	47257418
C5AR1	19	47823367
CRX	19	48326764
ZNF114	19	48716687
ZNF114	19	48737210
GRIN2D	19	48898789
NTF4	19	49567095
PPFIA3	19	49652845
CTD-3148I10.1	19	49929493
AKT1S1	19	50372484
IL4I1	19	50431503
VRK3	19	50523420
NR1H2	19	50859338
POLD1	19	50902039
SYT3	19	51156553
CD33	19	51729354
HAS1	19	52222893
ZNF808	19	53058163
CNOT3	19	54659253
LENG9	19	54974488
SYT5	19	55691143
PPP6R1	19	55761289
NAT14	19	55997953
SSC5D	19	56011880
ZNF671	19	58232693
ZNF586	19	58301715
ZSCAN18	19	58595832
SLC27A5	19	59022693
RAD21L1	20	1265352
NSFL1C	20	1433790
EBF4	20	2674384
PTPRA	20	3016495
SIGLEC1	20	3668856
MAVS	20	3846448
RNF24	20	3958807
RNF24	20	3978330
SMOX	20	4134062
PRND	20	4702763
PRNT	20	4712313
PLCB4	20	9141680
SNAP25	20	10226952
TASP1	20	13315793
BFSP1	20	17542901
CST8	20	23476568
SYNDIG1	20	24482904
FAM182B	20	25745268
FAM182B	20	25839336
FAM182B	20	25841507
FAM182B	20	25844307
REM1	20	30063377
KIF3B	20	30919990
KIF3B	20	30920487
DNMT3B	20	31367244
CDK5RAP1	20	31985521
RALY	20	32642514
CPNE1	20	34252533
DLGAP4	20	35005168
RALGAPB	20	37107738
RALGAPB	20	37110504
ARHGAP40	20	37245129
ZHX3	20	39911427
LPIN3	20	39980853
JPH2	20	42741198
HNF4A	20	43030141
PKIG	20	43191138
PKIG	20	43229879
EPPIN	20	44174406
SLC12A5	20	44672351
SLC13A3	20	45187522
DDX27	20	47849843
SLC9A8	20	48505575
TSHZ2	20	52025120
CYP24A1	20	52790293
AURKA	20	54945509
NPEPL1	20	57266527
CDH4	20	60513815
LAMA5	20	60885456
RBBP8NL	20	60997937
CHRNA4	20	61976274
ZNF512B	20	62629070
TCEA2	20	62699462
MYT1	20	62871873
NRIP1	21	16354296
CHODL	21	19507750
CHODL	21	19609972
ATP5J	21	27103529
GABPA	21	27110766
GRIK1	21	30972181
TIAM1	21	32811145
TIAM1	21	32848029
TIAM1	21	32886282
TIAM1	21	32931004
TCP10L	21	33956615
C21orf49	21	34168142
RUNX1	21	36421197
CLDN14	21	37884964
HLCS	21	38332116
PIGP	21	38434521
KCNJ6	21	39238212
B3GALT5	21	41029495
C2CD2	21	43309219
C2CD2	21	43325882
ZBTB21	21	43416888
CBS	21	44484017
AGPAT3	21	45352587
PFKL	21	45747147
TSPEAR	21	45918355
C21orf67	21	46353530
ADARB1	21	46510936
ADARB1	21	46517032
ADARB1	21	46567375
ADARB1	21	46581220
ADARB1	21	46642046
SLC19A1	21	46954521
PCBP3	21	47133680
PCBP3	21	47198184
PCBP3	21	47211439
PCBP3	21	47257329
CECR2	22	17903473
HIRA	22	19318806
GNB1L	22	19774157
TXNRD2	22	19863954
ARVCF	22	19978282
ARVCF	22	19995293
ARVCF	22	20001451
TANGO2	22	20022426
RIMBP3	22	20456373
ZNF74	22	20761705
THAP7	22	21354916
SLC7A4	22	21385286
RIMBP3B	22	21743076
RIMBP3C	22	21900337
YPEL1	22	22069926
RAB36	22	23487734
BCR	22	23524359
ADORA2A	22	24829666
LRP5L	22	25778936
MTMR3	22	30336497
SFI1	22	31892319
LARGE	22	34198563
APOL5	22	36124870
APOL4	22	36600230
APOL1	22	36661860
MYH9	22	36754584
TMPRSS6	22	37461660
IL2RB	22	37524615
ELFN2	22	37785726
ELFN2	22	37792092
ELFN2	22	37793236
ELFN2	22	37806872
SH3BP1	22	38046175
CBX7	22	39529002
SGSM3	22	40771940
SGSM3	22	40800301
MKL1	22	40977680
MKL1	22	40981130
POLDIP3	22	42980822
CYB5R3	22	43023297
BIK	22	43513139
BIK	22	43514106
PARVB	22	44566587
FLJ27365	22	46450660
FLJ27365	22	46451920
FLJ27365	22	46492376
FLJ27365	22	46493152
BRD1	22	50220979
ZBED4	22	50278294
MOV10L1	22	50596617
KLHDC7B	22	50987330
ARSA	22	51065104
SHANK3	22	51159268
SHOX	23	590573
P2RY8	23	1582655
P2RY8	23	1621744
P2RY8	23	1622071
P2RY8	23	1632359
P2RY8	23	1645422
XG	23	2712599
TBL1X	23	9497527
TBL1X	23	9521078
FRMPD4	23	12516913
RBBP7	23	16888470
PPEF1	23	18720343
PPEF1	23	18723444
RPS6KA3	23	20206642
ACOT9	23	23772443
TAB3	23	30930267
CHDC2	23	36065164
PRRG1	23	37245346
BCOR	23	39946257
BCOR	23	39979338
CXorf36	23	45008421
ARAF	23	47426110
WAS	23	48544505
AKAP4	23	49958912
ITIH6	23	54784206
LAS1L	23	64744033
HEPH	23	65412093
PJA1	23	68381718
DLG3	23	69670175
ITGB1BP2	23	70524989
TAF1	23	70609435
DMRTC1B	23	72036207
KIAA2022	23	74070364
KIAA2022	23	74083773
KIAA2022	23	74127387
MAGEE1	23	75648900
ATP7A	23	77212551
ZCCHC5	23	77912528
POU3F4	23	82764187
DACH2	23	85906055
TSPAN6	23	99884389
GPRASP1	23	101909120
BHLHB9	23	101993233
BHLHB9	23	102000940
RAB40A	23	102756399
IL1RAPL2	23	103863965
IL1RAPL2	23	103892445
NUP62CL	23	106439717
AMMECR1	23	109583275
AMMECR1	23	109630534
AMMECR1	23	109664555
PAK3	23	110242420
RHOXF1	23	119249586
BCORL1	23	129148372
ENOX2	23	129758181
ARHGAP36	23	130217874
IGSF1	23	130426970
MOSPD1	23	134048843
FHL1	23	135235528
IDS	23	148595742
MAMLD1	23	149681326
FATE1	23	150889915
CNGA2	23	150912076
HAUS7	23	152757097
HAUS7	23	152759239
ABCD1	23	152991459
